LPADN, Performing Arts Dance Division
LPADNAMI, Performing Arts Dance Division
LPAMR, Performing Arts Music and Recorded Sound Division
LPAMRAMI, Performing Arts Music and Recorded Sound Division
LPARF, Performing Arts Reserve Film and Video Collection
LPATF, Performing Arts Theatre on Film and Tape Archive
LPATH, Performing Arts Theatre Division
SASBG, Schwarzman Berg Collection
SASPF, Schwarzman Pforzheimer Collection
SASRB, Schwarzman Rare Book Division
SASMS, Schwarzman Manuscripts and Archives Division
SASNY, Schwarzman Manuscripts and Archives Division
SASAR, Schwarzman Rare Book Division
SASMP, Schwarzman Map Division
SASPR, Schwarzman Prints and Photographs Division
SASPH, Schwarzman Prints and Photographs Division
SASJD, Schwarzman Dorot Jewish Division
SCHMIRS, Schomburg Moving Image and Recorded Sound
SCHRB, "Schomburg Center Manuscripts, Archives and Rare Books"
SCHMA, "Schomburg Center Manuscripts, Archives and Rare Books"
SCHPP, Schomburg Center Photographs and Prints
